省份,行政区划代码,cluster,cluster_label,核心特征摘要,人口密度（人/平方公里）,城镇化率,老龄人口占比,少儿人口占比,平均家庭规模,人均可支配收入_地区总计,人均消费支出_地区总计,口粮（千克/人）,饲料粮折算值（千克/人）,log1p人口密度_最新年值,log1p人口密度_线性趋势斜率,城镇化率_最新年值,城镇化率_线性趋势斜率,老龄人口占比_最新年值,老龄人口占比_线性趋势斜率,少儿人口占比_最新年值,少儿人口占比_线性趋势斜率,平均家庭规模_最新年值,平均家庭规模_线性趋势斜率,log1p人均可支配收入_最新年值,log1p人均可支配收入_线性趋势斜率,log1p人均消费支出_最新年值,log1p人均消费支出_线性趋势斜率,口粮_最新年值,口粮_线性趋势斜率,口粮_变异系数,饲料粮_最新年值,饲料粮_线性趋势斜率,饲料粮_变异系数
陕西,610000,2,低密度-低收入-口粮低位下降-饲料粮低位上升,人口密度=192.08人/平方公里；收入=33905.00元；支出=23213.00元；口粮=137.70千克/人；饲料粮=100.85千克/人,192.08473035594787,0.6613989375158108,0.13632431065013914,0.1793270933468252,2.78,33905.0,23213.0,137.7,100.85,5.263129109953279,0.002851384976340765,0.6613989375158108,0.012541699655843896,0.13632431065013914,0.0051422631625281275,0.1793270933468252,0.00199489850676963,2.78,-0.07200000000000255,10.431347268857898,0.07511365777244033,10.052510823928568,0.06257285671661213,137.7,1.832727272727364,0.05574474339450628,100.85,5.311454545454756,0.19665593420782682
青海,630000,2,低密度-低收入-口粮低位下降-饲料粮低位上升,人口密度=8.27人/平方公里；收入=30117.00元；支出=21204.00元；口粮=102.30千克/人；饲料粮=97.24千克/人,8.265032723162165,0.6386003372681281,0.10640809443507589,0.1897639123102867,2.72,30117.0,21204.0,102.3,97.24,2.2262473916428145,0.0027320178054491295,0.6386003372681281,0.013140239082208934,0.10640809443507589,0.0037752306331789685,0.1897639123102867,7.603530268829172e-05,2.72,-0.04993939393939521,10.312878278646764,0.07149418121629257,9.96199228190869,0.04373853072327472,102.3,-1.2672727272727244,0.059264403270446915,97.24,2.541636363636471,0.1044065855401311
安徽,340000,3,高密度-高收入-口粮中位稳定-饲料粮高位上升,人口密度=436.96人/平方公里；收入=36782.00元；支出=24996.00元；口粮=134.30千克/人；饲料粮=195.37千克/人,436.9645243018248,0.6256998203495019,0.1568544830965213,0.16621754042136208,2.46,36782.0,24996.0,134.3,195.37,6.082137912351502,0.00208800184798303,0.6256998203495019,0.01263393788025973,0.1568544830965213,0.005748831409802744,0.16621754042136208,-0.0009953774602227319,2.46,-0.08624242424242635,10.512791060900497,0.07872925619075245,10.126511096649761,0.07173721099823625,134.3,0.13575757575757413,0.03672520451414206,195.37,9.019757575757875,0.1795710666831242
山东,370000,3,高密度-高收入-口粮中位稳定-饲料粮高位上升,人口密度=641.82人/平方公里；收入=42077.00元；支出=25645.00元；口粮=98.80千克/人；饲料粮=166.46千克/人,641.8239659093672,0.6647996031746032,0.17734623015873016,0.16787103174603177,2.43,42077.0,25645.0,98.8,166.46,6.4658709167859,0.002392495796945909,0.6647996031746032,0.009562169728291124,0.17734623015873016,0.007087604150439349,0.16787103174603177,0.0004975244542255286,2.43,-0.03848484848484935,10.647280317764965,0.06799099981310139,10.152142893019061,0.06059799710057733,98.8,-0.8660606060605573,0.07690108762137314,166.46,8.015636363636693,0.18673521376956867
广东,440000,3,高密度-高收入-口粮中位稳定-饲料粮高位上升,人口密度=710.98人/平方公里；收入=51474.00元；支出=35818.00元；口粮=105.80千克/人；饲料粮=231.42千克/人,710.9781934226022,0.7591001564945227,0.10186150234741784,0.17533724569640063,2.63,51474.0,35818.0,105.8,231.42,6.568047283727506,0.009471130508730422,0.7591001564945227,0.007557821090000559,0.10186150234741784,0.0028909181213737827,0.17533724569640063,0.001924404347990494,2.63,-0.04563636363636418,10.84885153189599,0.06937608935106226,10.486233757860406,0.056614131549737906,105.8,-1.027878787878844,0.05555444799254153,231.42,6.889575757575934,0.10626272446116732
江苏,320000,3,高密度-高收入-口粮中位稳定-饲料粮高位上升,人口密度=799.26人/平方公里；收入=55415.00元；支出=37346.00元；口粮=131.30千克/人；饲料粮=203.96千克/人,799.2584246726692,0.7553002580342482,0.18776800375322544,0.13006333567909922,2.46,55415.0,37346.0,131.3,203.96,6.684934706345535,0.0025528253243711735,0.7553002580342482,0.00882279273939384,0.18776800375322544,0.007106119510081396,0.13006333567909922,-6.91069197354381e-05,2.46,-0.06636363636363832,10.92262363970244,0.07036473477049898,10.528007866049895,0.06685278781081436,131.3,2.0951515151516302,0.05782398542570976,203.96,9.151212121212511,0.18471303796796462
江西,360000,3,高密度-高收入-口粮中位稳定-饲料粮高位上升,人口密度=269.75人/平方公里；收入=36007.00元；支出=24726.00元；口粮=143.20千克/人；饲料粮=203.16千克/人,269.75151365965854,0.6377010217681031,0.1388671701466015,0.17883385162150156,2.69,36007.0,24726.0,143.2,203.16000000000005,5.6012014764828635,0.0005174647190645671,0.6377010217681031,0.012891045339896665,0.1388671701466015,0.005630050959251562,0.17883385162150156,-0.003106477549677748,2.69,-0.0910909090909116,10.491496414972769,0.07554755059278044,10.115651043007174,0.07866339981926965,143.2,1.563636363636516,0.08030276012008851,203.16000000000005,11.801515151515611,0.22776617515888992
浙江,330000,3,高密度-高收入-口粮中位稳定-饲料粮高位上升,人口密度=632.88人/平方公里；收入=67013.00元；支出=45107.00元；口粮=128.50千克/人；饲料粮=201.17千克/人,632.8816952605542,0.7545997001499251,0.15715742128935534,0.12291154422788607,2.35,67013.0,45107.0,128.5,201.17000000000004,6.451862336489777,0.012382139280822317,0.7545997001499251,0.009617350911975697,0.15715742128935534,0.005328433739857647,0.12291154422788607,-9.276486977052418e-05,2.35,-0.021575757575757956,11.11265683176888,0.07137047806037367,10.71681489335218,0.07033463928613176,128.5,0.5606060606060982,0.05091634620621191,201.17000000000004,8.694787878788249,0.16529862312677518
海南,460000,3,高密度-高收入-口粮中位稳定-饲料粮高位上升,人口密度=296.43人/平方公里；收入=34829.00元；支出=25908.00元；口粮=100.20千克/人；饲料粮=222.89千克/人,296.43299238560945,0.6308015267175573,0.11850190839694656,0.1779293893129771,3.21,34829.0,25908.0,100.2,222.89,5.695188963937696,0.011713040691304652,0.6308015267175573,0.008334400260313447,0.11850190839694656,0.005033768532716392,0.1779293893129771,-0.0016965313690599053,3.21,-0.050060606060607624,10.458234363360047,0.06700959472742524,10.162345677674331,0.07110359445874674,100.2,0.6489090909091207,0.05351571384024819,222.89,7.0338424242427475,0.14896441752646705
湖南,430000,3,高密度-高收入-口粮中位稳定-饲料粮高位上升,人口密度=308.65人/平方公里；收入=37679.00元；支出=26760.00元；口粮=138.60千克/人；饲料粮=190.21千克/人,308.6549595462692,0.6207004129071724,0.16682826120201869,0.16581740327267167,2.39,37679.0,26760.0,138.6,190.21,5.735458643875438,-0.0011570447898401216,0.6207004129071724,0.01220338080708005,0.16682826120201869,0.006635474956620964,0.16581740327267167,-0.001475496392691524,2.39,-0.07836363636363886,10.5368847286903,0.07536317804158721,10.194700882751727,0.06860185656998909,138.6,0.3369696969697335,0.053729054202606256,190.21,7.608787878788197,0.14654363544731208
福建,350000,3,高密度-高收入-口粮中位稳定-饲料粮高位上升,人口密度=337.99人/平方公里；收入=47857.00元；支出=33876.00元；口粮=117.00千克/人；饲料粮=204.51千克/人,337.98716074235455,0.7179990460290961,0.12953255425709514,0.17204626758883854,2.62,47857.0,33876.0,117.0,204.51,5.825962232746857,0.005802242993212991,0.7179990460290961,0.009361226715707043,0.12953255425709514,0.004645039544114524,0.17204626758883854,-0.0001713394701994499,2.62,-0.027636363636364434,10.775993572039262,0.07086807617392497,10.430491597029581,0.06569371606089451,117.0,-0.4369696969696806,0.03180535361659798,204.51,5.910545454545739,0.12451329956338489
重庆,500000,3,高密度-高收入-口粮中位稳定-饲料粮高位上升,人口密度=387.75人/平方公里；收入=39713.00元；支出=27451.00元；口粮=135.30千克/人；饲料粮=231.87千克/人,387.7540229479881,0.7214012539184953,0.18867398119122258,0.13466771159874608,2.5,39713.0,27451.0,135.3,231.87,5.962946811859162,0.004148558939259214,0.7214012539184953,0.011908014333046456,0.18867398119122258,0.00659747385159515,0.13466771159874608,-0.002574789211082202,2.5,-0.029090909090910437,10.589459049346978,0.07648212776295271,10.220194304028526,0.0681659526803563,135.3,-0.14739393939387785,0.05733324258597515,231.87,8.896072727273157,0.14932761284166862
西藏,540000,4,低密度-低收入-口粮高位下降-饲料粮低位稳定,人口密度=3.08人/平方公里；收入=31358.00元；支出=18983.00元；口粮=124.00千克/人；饲料粮=92.79千克/人,3.0780198817618145,0.39681081081081077,0.15681081081081083,0.15989189189189187,2.35,31358.0,18983.0,124.0,92.79,1.4056115475111033,0.00835774158921327,0.39681081081081077,0.01090939433003237,0.15681081081081083,0.006243664813195466,0.15989189189189187,0.0021414065392318118,2.35,-0.0847878787878812,10.353256586200818,0.10709211518360998,9.8513517981156,0.08989386779106047,124.0,-17.324242424242783,0.25950836908430125,92.79,-0.44818181818171743,0.10921103252412515
